,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
684,H13828227,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
685,H13828229,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
686,H13828231,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
687,H13828233,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
688,H13828235,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
689,H13828237,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
690,H13828239,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
691,H13828241,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
692,H13828243,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
693,H13828245,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
694,H13828247,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
695,H13828249,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
696,H13828251,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
697,H13828253,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
698,H13828255,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
699,H13828257,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
700,H13828259,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
701,H13828261,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
702,H13828263,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
703,H13828265,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
704,H13828267,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
705,H13828269,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
706,H13828271,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
707,H13828273,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
708,H13828275,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
709,H13828277,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
710,H13828279,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
711,H13828281,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
712,H13828283,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
713,H13828285,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
714,H13828287,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
715,H13828289,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
716,H13828291,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
717,H13828293,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
718,H13828295,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
719,H13828297,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
720,H13828299,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
721,H13828301,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
722,H13828303,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
723,H13828305,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
724,H13828307,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
725,H13828309,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
726,H13828311,H13828197,1,HT,E&I,1.0,01/03/0002,30/04/0002,1
727,H13828313,,1,HT,E&I,24.0,01/03/0002,30/04/0002,3
728,H13828315,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
729,H13828317,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
730,H13828319,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
731,H13828321,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
732,H13828323,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
733,H13828325,H13828313,1,HT,E&I,4.0,01/03/0002,30/04/0002,1
734,H13828327,,1,MT,E&I,10.0,01/03/0002,30/04/0002,1
735,H13828329,,1,MT,E&I,10.0,01/03/0002,30/04/0002,1
736,H13828331,,1,MT,PROD,3.0,01/03/0002,30/04/0002,1
737,H13828335,,1,HT,MECH,20.0,01/03/0002,30/04/0002,2
738,H13828337,,1,HT,E&I,20.0,01/03/0002,30/04/0002,2
739,H13828342,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
740,H13828347,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
741,H13828352,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
742,H13828357,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
743,H13828362,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
744,H13828367,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
745,H13828372,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
746,H13828377,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
747,H13828382,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
748,H13828387,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
749,H13828392,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
750,H13828397,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
751,H13828402,H13828337,1,HT,E&I,1.53846153846154,01/03/0002,30/04/0002,1
